Date,Open,High,Low,Close,Adj Close,Volume,signal
2016-01-04,7924.549805,7937.549805,7781.100098,7791.299805,7791.299805,134700.0,0
2016-01-05,7828.399902,7831.200195,7763.25,7784.649902,7784.649902,145200.0,0
2016-01-06,7788.049805,7800.950195,7721.200195,7741.0,7741.0,147100.0,0
2016-01-07,7673.350098,7674.950195,7556.600098,7568.299805,7568.299805,188900.0,0
2016-01-08,7611.649902,7634.100098,7581.049805,7601.350098,7601.350098,157400.0,0
2016-01-11,7527.450195,7605.100098,7494.350098,7563.850098,7563.850098,189000.0,1
2016-01-12,7587.200195,7588.299805,7487.799805,7510.299805,7510.299805,163900.0,1
2016-01-13,7557.899902,7590.950195,7425.799805,7562.399902,7562.399902,215200.0,0
2016-01-14,7467.399902,7604.799805,7443.799805,7536.799805,7536.799805,200800.0,0
2016-01-15,7561.649902,7566.5,7427.299805,7437.799805,7437.799805,197500.0,1
2016-01-18,7420.350098,7463.649902,7336.399902,7351.0,7351.0,233600.0,1
2016-01-19,7381.799805,7462.75,7364.149902,7435.100098,7435.100098,188300.0,0
2016-01-20,7357.0,7470.899902,7241.5,7309.299805,7309.299805,225600.0,1
2016-01-21,7376.649902,7398.700195,7250.0,7276.799805,7276.799805,240700.0,1
2016-01-22,7355.700195,7433.399902,7327.600098,7422.450195,7422.450195,229200.0,0
2016-01-25,7468.75,7487.149902,7421.200195,7436.149902,7436.149902,163200.0,-1
2016-01-27,7469.600098,7477.899902,7419.700195,7437.75,7437.75,187600.0,-1
2016-01-28,7426.5,7468.850098,7409.600098,7424.649902,7424.649902,274500.0,0
2016-01-29,7413.350098,7575.649902,7402.799805,7563.549805,7563.549805,298700.0,-1
2016-02-01,7589.5,7600.450195,7541.25,7555.950195,7555.950195,200400.0,0
2016-02-02,7566.649902,7576.299805,7428.049805,7455.549805,7455.549805,230200.0,0
2016-02-03,7392.450195,7419.399902,7350.299805,7361.799805,7361.799805,192000.0,1
2016-02-04,7411.450195,7457.049805,7365.950195,7404.0,7404.0,222700.0,0
2016-02-05,7418.25,7503.149902,7406.649902,7489.100098,7489.100098,249800.0,0
2016-02-08,7489.700195,7512.549805,7363.200195,7387.25,7387.25,171500.0,0
2016-02-09,7303.950195,7323.450195,7275.149902,7298.200195,7298.200195,212100.0,1
2016-02-10,7264.299805,7271.850098,7177.75,7215.700195,7215.700195,246900.0,1
2016-02-11,7203.600098,7208.649902,6959.950195,6976.350098,6976.350098,292300.0,1
2016-02-12,7023.649902,7034.799805,6869.0,6980.950195,6980.950195,333900.0,0
2016-02-15,7057.350098,7182.799805,7056.799805,7162.950195,7162.950195,354200.0,0
2016-02-16,7201.25,7204.649902,7037.700195,7048.25,7048.25,253800.0,0
2016-02-17,7058.850098,7123.700195,6960.649902,7108.450195,7108.450195,260000.0,0
2016-02-18,7177.399902,7215.100098,7127.850098,7191.75,7191.75,246700.0,-1
2016-02-19,7170.549805,7226.850098,7145.950195,7210.75,7210.75,192300.0,-1
2016-02-22,7208.850098,7252.399902,7200.700195,7234.549805,7234.549805,154400.0,-1
2016-02-23,7240.299805,7241.700195,7090.700195,7109.549805,7109.549805,194400.0,0
2016-02-24,7075.0,7090.799805,7009.75,7018.700195,7018.700195,199700.0,1
2016-02-25,7029.850098,7034.200195,6961.399902,6970.600098,6970.600098,283100.0,1
2016-02-26,7039.299805,7052.899902,6985.100098,7029.75,7029.75,206700.0,0
2016-02-29,7050.450195,7094.600098,6825.799805,6987.049805,6987.049805,473400.0,0
2016-03-01,7038.25,7235.5,7035.100098,7222.299805,7222.299805,275100.0,-1
2016-03-02,7321.700195,7380.350098,7308.149902,7368.850098,7368.850098,338500.0,-1
2016-03-03,7429.549805,7483.950195,7406.049805,7475.600098,7475.600098,278600.0,-1
2016-03-04,7505.399902,7505.899902,7444.100098,7485.350098,7485.350098,281700.0,-1
2016-03-08,7486.399902,7527.149902,7442.149902,7485.299805,7485.299805,257000.0,0
2016-03-09,7436.100098,7539.0,7424.299805,7531.799805,7531.799805,245100.0,-1
2016-03-10,7545.350098,7547.100098,7447.399902,7486.149902,7486.149902,224700.0,0
2016-03-11,7484.850098,7543.950195,7460.600098,7510.200195,7510.200195,198700.0,0
2016-03-14,7542.600098,7583.700195,7515.049805,7538.75,7538.75,166900.0,-1
2016-03-15,7535.850098,7545.200195,7452.799805,7460.600098,7460.600098,193700.0,1
2016-03-16,7457.049805,7508.0,7405.149902,7498.75,7498.75,195400.0,0
2016-03-17,7557.399902,7585.299805,7479.399902,7512.549805,7512.549805,239600.0,0
2016-03-18,7534.649902,7613.600098,7517.899902,7604.350098,7604.350098,237400.0,-1
2016-03-21,7619.200195,7713.549805,7617.700195,7704.25,7704.25,196800.0,-1
2016-03-22,7695.549805,7728.200195,7643.799805,7714.899902,7714.899902,208900.0,-1
2016-03-23,7717.450195,7726.850098,7670.600098,7716.5,7716.5,199600.0,-1
2016-03-28,7741.0,7749.399902,7587.700195,7615.100098,7615.100098,242400.0,0
2016-03-29,7606.549805,7652.899902,7582.25,7597.0,7597.0,216800.0,1
2016-03-30,7651.100098,7741.950195,7643.450195,7735.200195,7735.200195,232600.0,-1
2016-03-31,7727.649902,7777.600098,7702.0,7738.399902,7738.399902,380100.0,-1
2016-04-01,7718.049805,7740.149902,7666.100098,7713.049805,7713.049805,183900.0,0
2016-04-04,7733.149902,7764.450195,7704.399902,7758.799805,7758.799805,155500.0,-1
2016-04-05,7736.299805,7736.299805,7588.649902,7603.200195,7603.200195,203800.0,1
2016-04-06,7636.049805,7638.649902,7591.75,7614.350098,7614.350098,165600.0,0
2016-04-07,7630.399902,7630.75,7535.850098,7546.450195,7546.450195,234400.0,1
2016-04-08,7542.350098,7569.350098,7526.700195,7555.200195,7555.200195,143400.0,0
2016-04-11,7577.799805,7678.799805,7516.850098,7671.399902,7671.399902,179800.0,-1
2016-04-12,7669.25,7717.399902,7663.350098,7708.950195,7708.950195,163400.0,-1
2016-04-13,7777.149902,7864.799805,7772.200195,7850.450195,7850.450195,220400.0,-1
2016-04-18,7908.149902,7920.600098,7842.75,7914.700195,7914.700195,184600.0,-1
2016-04-20,7950.049805,7950.399902,7877.549805,7914.75,7914.75,205300.0,-1
2016-04-21,7953.649902,7978.450195,7884.100098,7912.049805,7912.049805,223700.0,0
2016-04-22,7891.799805,7923.350098,7873.350098,7899.299805,7899.299805,183300.0,0
2016-04-25,7894.799805,7911.0,7827.0,7855.049805,7855.049805,146300.0,1
2016-04-26,7828.149902,7974.5,7822.549805,7962.649902,7962.649902,202400.0,-1
2016-04-27,7942.0,7991.0,7940.549805,7979.899902,7979.899902,206800.0,-1
2016-04-28,7967.399902,7992.0,7834.450195,7847.25,7847.25,292500.0,1
2016-04-29,7844.25,7889.049805,7788.700195,7849.799805,7849.799805,243700.0,0
2016-05-02,7822.700195,7829.799805,7777.299805,7805.899902,7805.899902,146300.0,1
2016-05-03,7824.799805,7890.25,7735.149902,7747.0,7747.0,186500.0,1
2016-05-04,7724.149902,7749.0,7697.25,7706.549805,7706.549805,199700.0,1
2016-05-05,7731.0,7777.549805,7706.850098,7735.5,7735.5,185100.0,0
2016-05-06,7717.649902,7738.899902,7678.350098,7733.450195,7733.450195,163600.0,0
2016-05-09,7755.25,7873.649902,7753.549805,7866.049805,7866.049805,160600.0,-1
